"Why are banana plants wilting?","It may be due to Panama wilt disease."
"What causes bunchy top in banana?","Bunchy top virus spread by aphids; control aphid population."
"How to treat papaya leaf curl?","Control whiteflies and use virus-free seedlings."
"Why is papaya latex turning watery?","It may be due to papaya ringspot virus."
"What causes powdery mildew in grapes?","Fungal infection; spray Sulphur or systemic fungicides."
"How to control downy mildew in grapes?","Spray Metalaxyl or Copper fungicides."
"Why are grape bunches rotting?","It may be due to fungal infection like Botrytis."
"What causes apple scab?","It is caused by Venturia inaequalis; spray fungicides like Captan."
"How to control fire blight in apple?","Prune affected twigs and spray streptomycin."
"Why are apple leaves turning yellow?","It may be due to iron deficiency or apple mosaic virus."
"What causes black spots on mustard leaves?","It may be Alternaria blight; spray Mancozeb."
"How to control white rust in mustard?","Use resistant varieties and spray Metalaxyl fungicides."
"Why are chili plants wilting?","It may be due to Fusarium wilt or root rot."
"How to treat leaf curl in chili?","Control thrips and whiteflies that spread the virus."
"What causes fruit rot in chili?","It is caused by Colletotrichum fungus; spray Carbendazim."
"How to prevent storage pests in grains?","Use fumigation and store in airtight bins."
